UserID,KYC_Level,Account_Open_Date,Risk_Score_History,AddressHistory,Current_Risk_Score,Total_Accounts,Is_VIP
UID_01855,Level 2 (Verified),8/7/2023,"[{""Date"": ""2025-10-13"", ""Score"": 545}, {""Date"": ""2025-09-15"", ""Score"": 608}, {""Date"": ""2025-08-16"", ""Score"": 616}]","[{""AddressID"": ""ADDR-USR00001-1"", ""Street"": ""Street 390"", ""City"": ""Berlin"", ""State"": ""NY"", ""ZipCode"": ""41103"", ""MoveInDate"": ""2015-05-27""}, {""AddressID"": ""ADDR-USR00001-2"", ""Street"": ""Street 613"", ""City"": ""Tokyo"", ""State"": ""LON"", ""ZipCode"": ""87730"", ""MoveInDate"": ""2016-08-21""}, {""AddressID"": ""ADDR-USR00001-3"", ""Street"": ""Street 593"", ""City"": ""Tokyo"", ""State"": ""BER"", ""ZipCode"": ""95457"", ""MoveInDate"": ""2017-01-09""}]",783,2,FALSE
UID_13426,Level 1 (Basic),2/23/2025,"[{""Date"": ""2025-10-09"", ""Score"": 616}, {""Date"": ""2025-09-17"", ""Score"": 545}, {""Date"": ""2025-08-01"", ""Score"": 790}]","[{""AddressID"": ""ADDR-USR00002-1"", ""Street"": ""Street 857"", ""City"": ""Paris"", ""State"": ""PAR"", ""ZipCode"": ""29815"", ""MoveInDate"": ""2015-03-29""}, {""AddressID"": ""ADDR-USR00002-2"", ""Street"": ""Street 420"", ""City"": ""New York"", ""State"": ""TKY"", ""ZipCode"": ""91056"", ""MoveInDate"": ""2016-05-03""}, {""AddressID"": ""ADDR-USR00002-3"", ""Street"": ""Street 907"", ""City"": ""Tokyo"", ""State"": ""TKY"", ""ZipCode"": ""47551"", ""MoveInDate"": ""2017-03-03""}]",591,4,FALSE
UID_09296,Level 1 (Basic),5/18/2021,"[{""Date"": ""2025-10-01"", ""Score"": 591}, {""Date"": ""2025-09-04"", ""Score"": 790}, {""Date"": ""2025-08-07"", ""Score"": 468}]","[{""AddressID"": ""ADDR-USR00003-1"", ""Street"": ""Street 599"", ""City"": ""New York"", ""State"": ""LON"", ""ZipCode"": ""89840"", ""MoveInDate"": ""2015-11-01""}, {""AddressID"": ""ADDR-USR00003-2"", ""Street"": ""Street 779"", ""City"": ""New York"", ""State"": ""PAR"", ""ZipCode"": ""27366"", ""MoveInDate"": ""2016-09-11""}, {""AddressID"": ""ADDR-USR00003-3"", ""Street"": ""Street 129"", ""City"": ""Paris"", ""State"": ""BER"", ""ZipCode"": ""51186"", ""MoveInDate"": ""2017-06-16""}]",741,4,FALSE
UID_12303,Level 2 (Verified),7/13/2024,"[{""Date"": ""2025-10-15"", ""Score"": 790}, {""Date"": ""2025-09-17"", ""Score"": 468}, {""Date"": ""2025-08-24"", ""Score"": 545}]","[{""AddressID"": ""ADDR-USR00004-1"", ""Street"": ""Street 371"", ""City"": ""New York"", ""State"": ""TKY"", ""ZipCode"": ""84370"", ""MoveInDate"": ""2015-02-24""}, {""AddressID"": ""ADDR-USR00004-2"", ""Street"": ""Street 987"", ""City"": ""Tokyo"", ""State"": ""LON"", ""ZipCode"": ""82880"", ""MoveInDate"": ""2016-02-27""}, {""AddressID"": ""ADDR-USR00004-3"", ""Street"": ""Street 762"", ""City"": ""Berlin"", ""State"": ""LON"", ""ZipCode"": ""51880"", ""MoveInDate"": ""2017-11-22""}]",741,1,FALSE
UID_05988,Level 2 (Verified),4/14/2024,"[{""Date"": ""2025-10-20"", ""Score"": 468}, {""Date"": ""2025-08-31"", ""Score"": 545}, {""Date"": ""2025-08-20"", ""Score"": 783}]","[{""AddressID"": ""ADDR-USR00005-1"", ""Street"": ""Street 494"", ""City"": ""Berlin"", ""State"": ""PAR"", ""ZipCode"": ""54785"", ""MoveInDate"": ""2015-05-19""}, {""AddressID"": ""ADDR-USR00005-2"", ""Street"": ""Street 133"", ""City"": ""Tokyo"", ""State"": ""LON"", ""ZipCode"": ""17330"", ""MoveInDate"": ""2016-01-31""}, {""AddressID"": ""ADDR-USR00005-3"", ""Street"": ""Street 366"", ""City"": ""Berlin"", ""State"": ""LON"", ""ZipCode"": ""81475"", ""MoveInDate"": ""2017-01-18""}]",844,1,FALSE
UID_05450,Level 3 (Full KYC),11/5/2020,"[{""Date"": ""2025-10-19"", ""Score"": 844}, {""Date"": ""2025-08-31"", ""Score"": 468}, {""Date"": ""2025-08-20"", ""Score"": 591}]","[{""AddressID"": ""ADDR-USR00006-1"", ""Street"": ""Street 109"", ""City"": ""New York"", ""State"": ""PAR"", ""ZipCode"": ""38386"", ""MoveInDate"": ""2015-06-14""}, {""AddressID"": ""ADDR-USR00006-2"", ""Street"": ""Street 115"", ""City"": ""Berlin"", ""State"": ""TKY"", ""ZipCode"": ""47102"", ""MoveInDate"": ""2016-04-25""}, {""AddressID"": ""ADDR-USR00006-3"", ""Street"": ""Street 181"", ""City"": ""Tokyo"", ""State"": ""PAR"", ""ZipCode"": ""75188"", ""MoveInDate"": ""2017-03-15""}]",790,2,TRUE
UID_06011,Level 2 (Verified),2/6/2021,"[{""Date"": ""2025-10-09"", ""Score"": 608}, {""Date"": ""2025-09-11"", ""Score"": 790}, {""Date"": ""2025-08-03"", ""Score"": 499}]","[{""AddressID"": ""ADDR-USR00007-1"", ""Street"": ""Street 480"", ""City"": ""Berlin"", ""State"": ""NY"", ""ZipCode"": ""44205"", ""MoveInDate"": ""2015-05-28""}, {""AddressID"": ""ADDR-USR00007-2"", ""Street"": ""Street 180"", ""City"": ""Tokyo"", ""State"": ""LON"", ""ZipCode"": ""44132"", ""MoveInDate"": ""2016-12-02""}, {""AddressID"": ""ADDR-USR00007-3"", ""Street"": ""Street 566"", ""City"": ""New York"", ""State"": ""TKY"", ""ZipCode"": ""88979"", ""MoveInDate"": ""2017-11-02""}]",616,5,FALSE
UID_09240,Level 2 (Verified),5/26/2021,"[{""Date"": ""2025-09-29"", ""Score"": 616}, {""Date"": ""2025-09-14"", ""Score"": 844}, {""Date"": ""2025-08-11"", ""Score"": 608}]","[{""AddressID"": ""ADDR-USR00008-1"", ""Street"": ""Street 298"", ""City"": ""Paris"", ""State"": ""TKY"", ""ZipCode"": ""52995"", ""MoveInDate"": ""2015-08-13""}, {""AddressID"": ""ADDR-USR00008-2"", ""Street"": ""Street 371"", ""City"": ""Paris"", ""State"": ""TKY"", ""ZipCode"": ""66281"", ""MoveInDate"": ""2016-08-14""}, {""AddressID"": ""ADDR-USR00008-3"", ""Street"": ""Street 264"", ""City"": ""Berlin"", ""State"": ""NY"", ""ZipCode"": ""32716"", ""MoveInDate"": ""2017-10-27""}]",616,3,TRUE
UID_00667,Level 1 (Basic),7/21/2023,"[{""Date"": ""2025-10-21"", ""Score"": 468}, {""Date"": ""2025-09-07"", ""Score"": 616}, {""Date"": ""2025-08-08"", ""Score"": 616}]","[{""AddressID"": ""ADDR-USR00009-1"", ""Street"": ""Street 547"", ""City"": ""Berlin"", ""State"": ""NY"", ""ZipCode"": ""78743"", ""MoveInDate"": ""2015-08-08""}, {""AddressID"": ""ADDR-USR00009-2"", ""Street"": ""Street 876"", ""City"": ""London"", ""State"": ""NY"", ""ZipCode"": ""34760"", ""MoveInDate"": ""2016-01-18""}, {""AddressID"": ""ADDR-USR00009-3"", ""Street"": ""Street 293"", ""City"": ""Berlin"", ""State"": ""LON"", ""ZipCode"": ""79138"", ""MoveInDate"": ""2017-08-03""}]",844,5,TRUE
UID_07491,Level 1 (Basic),8/11/2025,"[{""Date"": ""2025-10-01"", ""Score"": 591}, {""Date"": ""2025-09-03"", ""Score"": 741}, {""Date"": ""2025-08-20"", ""Score"": 591}]","[{""AddressID"": ""ADDR-USR00010-1"", ""Street"": ""Street 923"", ""City"": ""London"", ""State"": ""TKY"", ""ZipCode"": ""49857"", ""MoveInDate"": ""2015-11-06""}, {""AddressID"": ""ADDR-USR00010-2"", ""Street"": ""Street 977"", ""City"": ""Tokyo"", ""State"": ""NY"", ""ZipCode"": ""94367"", ""MoveInDate"": ""2016-12-29""}, {""AddressID"": ""ADDR-USR00010-3"", ""Street"": ""Street 134"", ""City"": ""Tokyo"", ""State"": ""BER"", ""ZipCode"": ""13448"", ""MoveInDate"": ""2017-07-20""}]",844,3,FALSE
